Date,Branch,Product,Quantity,UnitPrice,Total
2025-02-28,South,Natural Pasta,3,57.05,171.15
2025-08-26,Central,Roasted Dried Mango,2,488.72,977.44
2025-03-23,North,Extra Virgin Dried Mango,7,149.48,1046.36
2024-12-24,North,Whole Grain Cinnamon,7,233.93,1637.51
2025-06-11,Central,Gluten-Free Tea,4,60.54,242.16
2024-10-30,North,Whole Grain Butter,1,219.51,219.51
2025-03-31,Central,Classic Apples,8,64.22,513.76
2024-12-17,North,Healthy Wheat Flour,1,289.75,289.75
2025-03-20,West,Whole Grain Candy,2,140.5,281.0
2025-03-31,East,Imported Granola,4,382.37,1529.48
2024-10-31,Central,Low-Fat Ice Cream,2,215.91,431.82
2025-02-24,North,Gluten-Free Honey,4,332.33,1329.32
2025-02-27,Central,Premium Honey,2,195.83,391.66
2025-07-17,West,Fresh Canned Beans,3,465.31,1395.93
2025-04-19,West,Healthy Vanilla Extract,1,494.15,494.15
2025-01-28,Central,Roasted Candy,7,136.42,954.94
2025-03-16,East,Healthy Cinnamon,5,316.1,1580.5
2024-11-11,Central,Local Dates,8,52.28,418.24
2024-11-11,Central,Light Chocolate,4,219.18,876.72
2024-12-12,South,Light Energy Drink,6,311.81,1870.86
2025-06-29,East,Premium Oats,9,104.34,939.06
2025-08-15,Central,Premium Dried Mango,5,443.54,2217.7
2024-12-14,Central,Classic Cereal Bar,6,271.9,1631.4
2024-11-10,West,Light Tofu,8,419.62,3356.96
2024-11-30,North,Roasted Crackers,2,315.14,630.28
2025-07-18,South,Roasted Rice,7,459.54,3216.78
2024-11-23,Central,Extra Virgin Crisps,5,429.13,2145.65
2024-11-12,Central,Fresh Canned Beans,5,81.16,405.8
2025-08-27,North,Roasted Soda,9,106.38,957.42
2025-08-10,Central,Imported Rice,2,343.56,687.12
2025-01-05,West,Premium Cinnamon,9,259.52,2335.68
2025-09-11,South,Light Noodles,10,330.18,3301.8
2025-05-06,North,Whole Grain Canned Tuna,7,78.23,547.61
2025-02-01,Central,Roasted Lentils,8,152.46,1219.68
2025-04-11,North,Fresh Cumin,1,350.91,350.91
2025-05-28,South,Gluten-Free Soda,3,319.04,957.12
2025-10-07,South,Roasted Pepper,8,338.12,2704.96
2025-02-02,East,Gluten-Free Energy Drink,9,238.9,2150.1
2025-02-20,West,Organic Candy,5,464.77,2323.85
2025-03-26,North,Natural Juice,3,402.57,1207.71
2025-09-19,Central,Healthy Canned Beans,4,359.1,1436.4
2025-01-28,Central,Flavored Coffee,8,292.29,2338.32
2024-12-16,North,Fresh Pepper,4,230.0,920.0
2024-12-21,West,Imported Raisins,9,341.91,3077.19
2025-06-08,Central,Healthy Almonds,8,137.1,1096.8
2025-01-11,East,Healthy Canned Tuna,5,303.32,1516.6
2025-05-17,West,Whole Grain Syrup,9,219.89,1979.01
2024-11-29,West,Low-Fat Juice,5,264.81,1324.05
2024-11-03,East,Organic Cooking Oil,6,246.23,1477.38
2024-11-03,East,Imported Cheese,5,459.15,2295.75
2024-12-15,North,Low-Fat Chips,9,78.24,704.16
2025-02-09,Central,Whole Grain Frozen Pizza,6,308.96,1853.76
2025-07-04,West,Low-Fat Noodles,3,282.74,848.22
2025-01-09,North,Roasted Cereal Bar,9,445.93,4013.37
2025-01-15,North,Classic Lentils,1,374.96,374.96
2025-08-25,West,Natural Paprika,4,344.96,1379.84
2025-05-17,South,Fresh Granola,2,159.15,318.3
2024-11-14,East,Organic Syrup,2,136.54,273.08
2025-10-15,North,Local Tofu,3,81.9,245.7
2025-08-10,East,Gluten-Free Chocolate,9,401.92,3617.28
2025-07-11,East,Flavored Yogurt,10,194.57,1945.7
2025-09-24,East,Low-Fat Pepper,9,312.09,2808.81
2025-10-15,West,Roasted Lentils,3,493.15,1479.45
2024-12-11,West,Imported Cumin,2,266.94,533.88
2024-11-14,East,Healthy Oats,8,488.09,3904.72
2025-08-12,Central,Fresh Soda,8,328.82,2630.56
2025-04-15,North,Roasted Juice,7,409.03,2863.21
2025-02-21,South,Organic Jam,5,455.76,2278.8
2025-02-21,South,Organic Dates,3,163.67,491.01
2024-12-16,South,Imported Tea,6,252.11,1512.66
2025-08-28,Central,Roasted Crackers,1,460.88,460.88
2025-01-14,West,Whole Grain Frozen Pizza,6,275.22,1651.32
2025-06-13,South,Roasted Frozen Pizza,5,461.17,2305.85
2025-01-01,East,Low-Fat Tea,2,248.4,496.8
